payment_id,amount,failure_code,payment_method,customer_tier,retry_count,timestamp
pay_0001,365.18,network_error,emandate,bronze,0,2026-08-10 03:01:00
pay_0002,367.63,issuer_unavailable,card,bronze,1,2026-07-18 07:14:00
pay_0003,95.48,invalid_cvv,emandate,bronze,0,2026-07-09 23:06:00
pay_0004,226.21,card_expired,card,bronze,0,2026-08-13 23:57:00
pay_0005,410.65,bank_timeout,card,silver,0,2026-08-04 02:37:00
pay_0006,2243.76,card_expired,card,gold,0,2026-07-28 01:01:00
pay_0007,2676.32,insufficient_funds,card,silver,3,2026-07-06 06:14:00
pay_0008,2881.88,insufficient_funds,card,gold,0,2026-08-02 19:01:00
pay_0009,960.17,insufficient_funds,upi,bronze,0,2026-08-05 06:45:00
pay_0010,712.1,card_expired,card,silver,0,2026-08-11 22:34:00
pay_0011,13512.91,,netbanking,platinum,1,2026-07-29 18:17:00
pay_0012,277.69,insufficient_funds,card,platinum,0,2026-07-01 05:44:00
pay_0013,176.49,invalid_cvv,card,bronze,0,2026-07-28 10:17:00
pay_0014,69.73,invalid_cvv,card,silver,3,2026-07-10 06:48:00
pay_0015,4224.74,insufficient_funds,card,gold,1,2026-07-22 03:05:00
pay_0016,1109.73,insufficient_funds,netbanking,gold,0,2026-07-25 03:22:00
pay_0017,164.17,bank_timeout,upi,gold,0,2026-07-23 19:16:00
pay_0018,872.9,risky_declined,upi,bronze,0,2026-07-03 23:29:00
pay_0019,329.55,network_error,upi,bronze,1,2026-08-04 03:59:00
pay_0020,50.0,bank_timeout,upi,silver,0,2026-07-25 02:35:00
pay_0021,284.17,bank_timeout,upi,bronze,2,2026-07-19 20:39:00
pay_0022,103.92,network_error,card,bronze,0,2026-07-24 18:12:00
pay_0023,660.35,unknown,card,bronze,1,2026-07-03 21:14:00
pay_0024,5577.03,insufficient_funds,netbanking,gold,0,2026-07-19 02:54:00
pay_0025,291.48,bank_timeout,wallet,gold,0,2026-07-15 03:24:00
pay_0026,50.0,issuer_unavailable,netbanking,silver,0,2026-07-18 14:40:00
pay_0027,370.72,insufficient_funds,card,silver,3,2026-07-24 05:23:00
pay_0028,180.79,network_error,upi,bronze,3,2026-07-23 06:42:00
pay_0029,2147.58,card_expired,card,platinum,0,2026-07-18 22:59:00
pay_0030,50.0,card_expired,card,bronze,0,2026-08-13 20:04:00
pay_0031,1680.68,insufficient_funds,card,gold,3,2026-08-08 20:10:00
pay_0032,108.53,network_error,upi,bronze,1,2026-08-04 23:15:00
pay_0033,306.95,risky_declined,upi,bronze,0,2026-07-11 14:24:00
pay_0034,104.07,insufficient_funds,card,gold,1,2026-07-18 20:44:00
pay_0035,231.14,card_expired,card,silver,1,2026-08-05 07:43:00
pay_0036,1104.14,bank_timeout,upi,bronze,0,2026-07-21 01:14:00
pay_0037,839.33,unknown,card,bronze,0,2026-07-21 12:17:00
pay_0038,678.85,card_expired,card,silver,0,2026-07-05 06:58:00
pay_0039,401.07,issuer_unavailable,wallet,bronze,0,2026-08-06 22:20:00
pay_0040,872.45,issuer_unavailable,upi,bronze,1,2026-07-14 20:31:00
pay_0041,2059.41,insufficient_funds,card,silver,1,2026-07-26 20:29:00
pay_0042,50.0,risky_declined,card,bronze,0,2026-07-10 08:08:00
pay_0043,228.55,risky_declined,upi,silver,1,2026-07-16 23:35:00
pay_0044,419.51,network_error,card,bronze,2,2026-08-04 08:47:00
pay_0045,412.57,insufficient_funds,upi,silver,0,2026-08-07 13:57:00
pay_0046,890.42,bank_timeout,emandate,bronze,1,2026-08-07 12:23:00
pay_0047,1695.73,card_expired,card,gold,0,2026-07-15 04:32:00
pay_0048,2592.42,insufficient_funds,card,gold,0,2026-08-01 02:48:00
pay_0049,2773.72,issuer_unavailable,emandate,platinum,0,2026-07-04 03:09:00
pay_0050,19882.41,unknown,upi,platinum,2,2026-08-13 13:38:00
pay_0051,152.46,invalid_cvv,card,bronze,0,2026-07-05 12:24:00
pay_0052,759.7,network_error,wallet,silver,0,2026-08-08 14:33:00
pay_0053,657.45,insufficient_funds,emandate,silver,2,2026-07-17 17:55:00
pay_0054,1113.73,network_error,upi,gold,0,2026-07-01 21:46:00
pay_0055,6111.54,issuer_unavailable,netbanking,gold,0,2026-07-08 21:56:00
pay_0056,1089.5,risky_declined,netbanking,silver,1,2026-08-04 08:49:00
pay_0057,246.74,bank_timeout,card,gold,1,2026-08-11 10:07:00
pay_0058,135.05,card_expired,card,bronze,1,2026-07-19 13:10:00
pay_0059,178.63,invalid_cvv,card,bronze,0,2026-07-30 00:46:00
pay_0060,877.7,insufficient_funds,netbanking,silver,0,2026-07-17 16:48:00
pay_0061,405.81,card_expired,card,bronze,1,2026-07-12 16:58:00
